epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,980.408,1.1289,0.74702,1.20814,0.84512,0.90957,0.8852,0.42828,1.70087,0.87062,1.84664,0.0009836,0.0009836,0.0009836
79,1000.32,1.12047,0.67723,1.17276,0.91137,0.80556,0.873,0.40921,1.77019,0.89192,2.00394,0.0009704,0.0009704,0.0009704
80,1018.28,1.12961,0.71329,1.1563,0.72916,0.83333,0.7677,0.37903,1.78581,0.91251,2.03403,0.0009572,0.0009572,0.0009572
81,1027.7,1.06977,0.67042,1.16316,0.78805,0.8264,0.77211,0.36121,1.73367,0.99517,1.74708,0.000944,0.000944,0.000944
82,1040.42,1.04898,0.70583,1.16116,0.72811,0.83333,0.7689,0.37636,1.82865,0.96257,1.92456,0.0009308,0.0009308,0.0009308
83,1049.99,1.11179,0.67967,1.17256,0.81458,0.83333,0.75122,0.34678,1.87721,0.89994,2.04114,0.0009176,0.0009176,0.0009176
84,1069.03,1.01599,0.64165,1.16557,0.82722,0.83333,0.82303,0.35157,1.81293,0.90497,1.91099,0.0009044,0.0009044,0.0009044
85,1082.32,1.05296,0.66456,1.19015,0.84331,0.86111,0.83962,0.36956,1.8251,0.86204,1.97271,0.0008912,0.0008912,0.0008912
86,1095.41,1.03152,0.64731,1.1574,0.82118,0.77778,0.76336,0.36433,1.85307,0.86385,2.08773,0.000878,0.000878,0.000878
87,1106.31,1.00814,0.63822,1.1078,0.83038,0.72222,0.77017,0.36142,1.92683,0.90884,2.1792,0.0008648,0.0008648,0.0008648
88,1120.2,0.96201,0.64158,1.09117,0.83003,0.83333,0.84856,0.38634,1.84003,0.89388,2.02918,0.0008516,0.0008516,0.0008516
89,1130.35,1.02277,0.66801,1.15376,0.78879,0.83333,0.83486,0.38351,1.77786,0.91328,1.90202,0.0008384,0.0008384,0.0008384
90,1143.72,0.98829,0.59313,1.11849,0.81483,0.77778,0.77143,0.34827,1.84085,0.99386,1.9056,0.0008252,0.0008252,0.0008252
91,1158.14,0.92928,0.58709,1.10581,0.75594,0.77442,0.77264,0.37908,1.80779,0.84656,2.01389,0.000812,0.000812,0.000812
92,1166.77,1.01173,0.64383,1.16602,0.80168,0.75,0.7725,0.35827,1.73985,0.91383,2.04108,0.0007988,0.0007988,0.0007988
93,1180.51,1.04877,0.63453,1.16644,0.84375,0.80556,0.83472,0.36294,1.73624,0.92905,1.96615,0.0007856,0.0007856,0.0007856
94,1192.73,1.01143,0.62574,1.15898,0.85601,0.82584,0.83128,0.38543,1.79752,0.79505,2.02786,0.0007724,0.0007724,0.0007724
95,1207.37,0.96288,0.59536,1.07901,0.88496,0.85491,0.85582,0.39666,1.78924,0.78914,1.99946,0.0007592,0.0007592,0.0007592
96,1216.62,0.98924,0.62005,1.13155,0.8394,0.86111,0.82392,0.39016,1.78562,0.856,1.92896,0.000746,0.000746,0.000746
97,1231.85,0.91931,0.59217,1.08973,0.80276,0.80556,0.81933,0.36817,1.78281,0.87948,1.87491,0.0007328,0.0007328,0.0007328
98,1244.08,0.97196,0.6295,1.10193,0.78767,0.72136,0.74465,0.34086,1.76311,0.91807,1.89944,0.0007196,0.0007196,0.0007196
99,1256.5,0.9696,0.62383,1.12707,0.74764,0.75,0.76311,0.33127,1.72294,0.98446,1.85342,0.0007064,0.0007064,0.0007064
100,1270.17,0.91257,0.57466,1.06603,0.77496,0.86094,0.81043,0.34892,1.71412,0.93018,1.86005,0.0006932,0.0006932,0.0006932
101,1283.1,0.88669,0.55474,1.08306,0.80215,0.83333,0.82194,0.36261,1.73782,0.86089,1.93036,0.00068,0.00068,0.00068
102,1296.65,0.92541,0.56931,1.04965,0.80988,0.82842,0.78583,0.36075,1.81951,0.86433,1.95777,0.0006668,0.0006668,0.0006668
103,1305.96,0.88968,0.5534,1.08915,0.87979,0.83333,0.79908,0.37218,1.80154,0.87167,1.94862,0.0006536,0.0006536,0.0006536
104,1319.84,0.86709,0.57889,1.07067,0.833,0.75,0.73466,0.32716,1.77315,0.93843,1.97899,0.0006404,0.0006404,0.0006404
105,1333.49,0.90647,0.58728,1.08335,0.78417,0.72222,0.68599,0.33447,1.8001,0.89657,1.97749,0.0006272,0.0006272,0.0006272
106,1348.79,0.88138,0.57754,1.07416,0.81233,0.72146,0.69924,0.34416,1.75526,0.84758,1.94028,0.000614,0.000614,0.000614
107,1360.22,0.90112,0.54519,1.08469,0.80011,0.69444,0.68268,0.33906,1.73819,0.88479,1.9566,0.0006008,0.0006008,0.0006008
108,1373.34,0.8847,0.54842,1.05887,0.81621,0.74035,0.79162,0.35074,1.77203,0.90467,1.97828,0.0005876,0.0005876,0.0005876
